service_name,motor_type,price
PAKET CEK AJA DULU,VARIO 125 CBS ISS,0.0
SERVIS PAKET LENGKAP PERAWATAN,BEAT STREET,85000.0
SERVIS PAKET LENGKAP PERAWATAN,NEW VARIO TECHNO CBS,80000.0
SERVIS PAKET LENGKAP PERAWATAN,CB150 VERZA CW,95000.0
JASA PASANG 105000,BEAT STREET CBS,105000.0
KPB 1,SCOOPY STYLISH ,0.0
SERVIS PAKET LENGKAP PERAWATAN,NEW VARIO TECHNO PGM FI,80000.0
PAKET CEBAN,VARIO 125 CBS ISS,10000.0
PENGGANTIAN OLI MESIN,BeAT Sporty CBS ISS Deluxe,5000.0
LCR TREATMENT 1,BeAT Sporty CBS,0.0
JASA CEK KILAT,BeAT Sporty CBS ISS Deluxe,1.0
KPB 1,BEAT SPORTY CBS,0.0
KPB 3,ADV 160 CBS,0.0
KPB 1,VARIO 160 ABS,0.0
SERVIS PAKET LENGKAP PERAWATAN,SCOOPY,90000.0
KPB 2,PCX 160 CBS,0.0
LCR TREATMENT 1,BeAT Sporty CBS ISS Deluxe,0.0
KPB 1,BeAT Street,0.0
PENGGANTIAN MINYAK REM,ALL NEW SCOOPY SPORTY,40000.0
PENGGANTIAN MINYAK REM,NEW VARIO 125 CBS,35000.0
KPB 1,VARIO 160 CBS,0.0
PENGGANTIAN MINYAK REM,NEW VARIO 125 CBS-ISS,35000.0
SERVIS PAKET LENGKAP PERAWATAN,PCX 150,155000.0
PENGGANTIAN MINYAK REM,SUPRA X 125 HELM IN FI,35000.0
LCR TREATMENT 1,BeAT Street,0.0
KPB 1,BeAT Sporty CBS,0.0
JASA PASANG 30000,CB150R STREETFIRE,30000.0
LCR CHECK,NEW SCOOPY PRESTIGE,0.0
PENGGANTIAN OLI MESIN,VARIO TECHNO NON CBS,0.0
SERVIS PAKET LENGKAP PERAWATAN,SUPRA X,0.0
PENGGANTIAN OLI MESIN,BEAT STREET CBS,0.0
PENGGANTIAN BEARING DEPAN,CB150 VERZA CW,30000.0
PENGGANTIAN OLI MESIN,VARIO 125 CBS,5000.0
PERBAIKAN HEADLIGHT UNIT,VARIO 125 CBS,35000.0
JASA PASANG 5000,VARIO 125 CBS-ISS MMC,5000.0
PENGGANTIAN RADIATOR COOLANT,VARIO 125 CBS,40000.0
JASA PASANG 5000,VARIO 125 CBS,5000.0
PEMERIKSAAN KELISTRIKAN,NEW SCOOPY FI,50000.0
PERBAIKAN KANVAS REM BELAKANG,BEAT POP ESP CBS,30000.0
SERVIS PAKET LENGKAP PERAWATAN,BEAT STREET CBS,95000.0
PENGGANTIAN OLI MESIN,CBR 150R STD,5000.0
PENGGANTIAN OLI MESIN,VARIO 110 CBS,5000.0
PENGGANTIAN BELT DRIVE / ROLLER,SCOOPY FI,60000.0
SERVIS PAKET LENGKAP PERAWATAN,BEAT SPORTY CW,95000.0
PENGGANTIAN OLI MESIN,BEAT SPORTY CW,5000.0
PENGGANTIAN OLI GARDAN,VARIO FI,2000.0
PENGGANTIAN OLI MESIN,VARIO FI,500.0
PENGGANTIAN OLI MESIN,BEAT SPORTY CBS ISS,5000.0
SERVIS PAKET LENGKAP PERAWATAN,BEAT SPORTY CBS ISS,95000.0
PENGGANTIAN BUSI,NEW VARIO CBS PGM FI,10000.0
PEMERIKSAAN KELISTRIKAN,BEAT SPORTY CW,50000.0
KPB 3,SCOOPY STYLISH ,0.0
JASA PASANG 10000,NEW CBR 150R,10000.0
JASA PASANG 10000,BEAT FI CW,10000.0
PERBAIKAN BAN BELAKANG,BEAT CW FI MMC,30000.0
LCR TREATMENT 1,NEW SCOOPY PRESTIGE,0.0
PENGGANTIAN CVT,NEW SCOOPY FI,60000.0
PERBAIKAN BAN BELAKANG,VARIO 150,35000.0
PEMERIKSAAN KELISTRIKAN,NEW SUPRA X 125 FI CW,50000.0
PENGGANTIAN CVT,NEW VARIO 150,65000.0
PERBAIKAN HEADLIGHT UNIT,BEAT STREET CBS,30000.0
